Idx,Name,Label
1,M1,Total-C
2,M2,non-HDL-C
3,M3,Rem0nt-C
4,M4,VLDL-C
5,M5,Clinical0LDL-C
6,M6,LDL-C
7,M7,HDL-C
8,M8,Total-TG
9,M9,VLDL-TG
10,M10,LDL-TG
11,M11,HDL-TG
12,M12,Total-PL
13,M13,VLDL-PL
14,M14,LDL-PL
15,M15,HDL-PL
16,M16,Total-CE
17,M17,VLDL-CE
18,M18,LDL-CE
19,M19,HDL-CE
20,M20,Total-FC
21,M21,VLDL-FC
22,M22,LDL-FC
23,M23,HDL-FC
24,M24,Total-L
25,M25,VLDL-L
26,M26,LDL-L
27,M27,HDL-L
28,M28,Total-P
29,M29,VLDL-P
30,M30,LDL-P
31,M31,HDL-P
32,M32,VLDL0size
33,M33,LDL0size
34,M34,HDL0size
35,M35,Phosphoglyc
36,M36,TG/PG
37,M37,Cholines
38,M38,Phosphatidylc
39,M39,Sphingomyelins
40,M40,ApoB
41,M41,ApoA1
42,M42,ApoB/ApoA1
43,M43,Total-FA
44,M44,Unsaturation
52,M52,Omega-30%
53,M53,Omega-60%
54,M54,PUFA0%
55,M55,MUFA0%
56,M56,SFA0%
57,M57,LA0%
58,M58,DHA0%
59,M59,PUFA/MUFA
60,M60,Omega-6/Omega-3
61,M61,Ala
62,M62,Gln
63,M63,Gly
64,M64,His
65,M65,Total0BCAA
66,M66,Ile
67,M67,Leu
68,M68,Val
69,M69,Phe
70,M70,Tyr
71,M71,Glucose
72,M72,Lactate
73,M73,Pyruvate
74,M74,Citrate
75,M75,Glycerol
76,M76,bOHbutyrate
77,M77,Acetate
78,M78,Acetoacetate
79,M79,Acetone
80,M80,Creatinine
81,M81,Albumin
82,M82,GlycA
83,M83,XXL-VLDL-P
84,M84,XXL-VLDL-L
90,M90,XL-VLDL-P
91,M91,XL-VLDL-L
97,M97,L-VLDL-P
98,M98,L-VLDL-L
104,M104,M-VLDL-P
105,M105,M-VLDL-L
111,M111,S-VLDL-P
112,M112,S-VLDL-L
118,M118,XS-VLDL-P
119,M119,XS-VLDL-L
125,M125,IDL-P
126,M126,IDL-L
132,M132,L-LDL-P
133,M133,L-LDL-L
139,M139,M-LDL-P
140,M140,M-LDL-L
146,M146,S-LDL-P
147,M147,S-LDL-L
153,M153,XL-HDL-P
154,M154,XL-HDL-L
160,M160,L-HDL-P
161,M161,L-HDL-L
167,M167,M-HDL-P
168,M168,M-HDL-L
174,M174,S-HDL-P
175,M175,S-HDL-L
181,M181,XXL-VLDL-PL0%
182,M182,XXL-VLDL-C0%
183,M183,XXL-VLDL-CE0%
184,M184,XXL-VLDL-FC0%
185,M185,XXL-VLDL-TG0%
186,M186,XL-VLDL-PL0%
187,M187,XL-VLDL-C0%
188,M188,XL-VLDL-CE0%
189,M189,XL-VLDL-FC0%
190,M190,XL-VLDL-TG0%
191,M191,L-VLDL-PL0%
192,M192,L-VLDL-C0%
193,M193,L-VLDL-CE0%
194,M194,L-VLDL-FC0%
195,M195,L-VLDL-TG0%
196,M196,M-VLDL-PL0%
197,M197,M-VLDL-C0%
198,M198,M-VLDL-CE0%
199,M199,M-VLDL-FC0%
200,M200,M-VLDL-TG0%
201,M201,S-VLDL-PL0%
202,M202,S-VLDL-C0%
203,M203,S-VLDL-CE0%
204,M204,S-VLDL-FC0%
205,M205,S-VLDL-TG0%
206,M206,XS-VLDL-PL0%
207,M207,XS-VLDL-C0%
208,M208,XS-VLDL-CE0%
209,M209,XS-VLDL-FC0%
210,M210,XS-VLDL-TG0%
211,M211,IDL-PL0%
212,M212,IDL-C0%
213,M213,IDL-CE0%
214,M214,IDL-FC0%
215,M215,IDL-TG0%
216,M216,L-LDL-PL0%
217,M217,L-LDL-C0%
218,M218,L-LDL-CE0%
219,M219,L-LDL-FC0%
220,M220,L-LDL-TG0%
221,M221,M-LDL-PL0%
222,M222,M-LDL-C0%
223,M223,M-LDL-CE0%
224,M224,M-LDL-FC0%
225,M225,M-LDL-TG0%
226,M226,S-LDL-PL0%
227,M227,S-LDL-C0%
228,M228,S-LDL-CE0%
229,M229,S-LDL-FC0%
230,M230,S-LDL-TG0%
231,M231,XL-HDL-PL0%
232,M232,XL-HDL-C0%
233,M233,XL-HDL-CE0%
234,M234,XL-HDL-FC0%
235,M235,XL-HDL-TG0%
236,M236,L-HDL-PL0%
237,M237,L-HDL-C0%
238,M238,L-HDL-CE0%
239,M239,L-HDL-FC0%
240,M240,L-HDL-TG0%
241,M241,M-HDL-PL0%
242,M242,M-HDL-C0%
243,M243,M-HDL-CE0%
244,M244,M-HDL-FC0%
245,M245,M-HDL-TG0%
246,M246,S-HDL-PL0%
247,M247,S-HDL-C0%
248,M248,S-HDL-CE0%
249,M249,S-HDL-FC0%
250,M250,S-HDL-TG0%
277,M277,PCR_ultrasenc
278,M278,Pro_BNP
